keyword,class,category,industry
thorough Understanding of Data Structures and Algorithms,Android Application Design,Coding and Programming,
test and Debug Code,Android Application Design,Coding and Programming,
thorough Understanding of Development Lifecycle,Android Application Design,Coding and Programming,
write and Maintain Applications,Android Application Design,Coding and Programming,
familiar with the entire design process,Web Design,Coding and Programming,
understands HTML code,Web Design,Coding and Programming,
understands CSS code,Web Design,Coding and Programming,
"ensures that the interface has elements that are easy to access, understand, and use",User Experience Design,Coding and Programming,
incorporating user feedback in to the design evolution process,User Experience Design,Coding and Programming,
mobile and tablet design,User Experience Design,Coding and Programming,
responsive design,User Experience Design,Coding and Programming,
"plans and organizes people, infrastructure, communication and material component",User Experience Design,Coding and Programming,
plans and organizes infrastructure,User Experience Design,Coding and Programming,
plans and organizes communication ,User Experience Design,Coding and Programming,
plans and organizes material component,User Experience Design,Coding and Programming,
wireframing and prototyping,User Experience Design,Coding and Programming,
keep the interface simple,User Interface Design,Coding and Programming,
create consistency and use common UI elements,User Interface Design,Coding and Programming,
be purposeful in page layout,User Interface Design,Coding and Programming,
strategically use color and texture,User Interface Design,Coding and Programming,
use typography to create hierarchy and clarity,User Interface Design,Coding and Programming,
make sure that the system communicates whats happening,User Interface Design,Coding and Programming,
think about the defaults,User Interface Design,Coding and Programming,
visual design,User Interface Design,Coding and Programming,
maintain good relationship with journalists genuinely,Public Relation,Marketing,
incorporates rigorous pedagogy and engaging challenges that promote deeper conceptual learning,Gamification Design,Coding and Programming,
analyze and interpret results using standard statistical tools and techniques,Data Analytics,Coding and Programming,
"pinpoint trends, correlations and patterns in complicated data sets",Data Analytics,Coding and Programming,
identify new opportunities for process improvement,Data Analytics,Coding and Programming,
provides concise data reports and clear data visualizations for management,Data Analytics,Coding and Programming,
"design, create and maintain relational databases and data systems",Data Analytics,Coding and Programming,
triage code problems and data-related issues,Data Analytics,Coding and Programming,
able to analyze data from different perspectives and summarizing it into useful information,Data Mining,Coding and Programming,
able to explore data from different sources,Data Mining,Coding and Programming,
able to justify data sanity and reliability ,Data Mining,Coding and Programming,
maintains database results by setting and enforcing standards and controls.,Database Design and Management,Coding and Programming,
prepares for database expansion by studying plans and requirements,Database Design and Management,Coding and Programming,
advising senior technical management,Database Design and Management,Coding and Programming,
coordinating design and programming,Database Design and Management,Coding and Programming,
upgrades hardware and software by assessing transaction processing and database production options,Database Design and Management,Coding and Programming,
maintains database performance by troubleshooting problems,Database Design and Management,Coding and Programming,
accomplishes platform upgrades and improvements by supervising system programming,Database Design and Management,Coding and Programming,
allign marketing plan according to brand image effectively,Marketing Strategic Planning,Marketing,
integrate marketing plan with product and service development plan effectively,Marketing Strategic Planning,Marketing,
design marketing mix strategy effectively,Marketing Strategic Planning,Marketing,
devise execution approach concisely,Marketing Strategic Planning,Marketing,
define marketing budget in details,Marketing Strategic Planning,Marketing,
define quantifiable success criteria to be achieved,Marketing Strategic Planning,Marketing,
execute marketing plan efficiently,Marketing Strategic Planning,Marketing,
integrate marketing tools effectively,Marketing Strategic Planning,Marketing,
improvise marketing plan according to external changes,Marketing Strategic Planning,Marketing,
coordinate with sales team effectively ,Marketing Strategic Planning,Marketing,
coordinate with customer service team effectively ,Marketing Strategic Planning,Marketing,
utilise market research tools efficiently,Market Research,Marketing,
conduct market research prudently,Market Research,Marketing,
conduct macro economic analysis comprehensively ,Market Research,Marketing,
conduct target market analysis comprehensively,Market Research,Marketing,
conduct products SWOT analysis comprehensively ,Market Research,Marketing,
conduct services SWOT analysis comprehensively,Market Research,Marketing,
conduct competition analysis comprehensively,Market Research,Marketing,
obtain customer feedback regularly,Market Research,Marketing,
obtain end user feedback regularly,Market Research,Marketing,
analyse feedback comprehensively,Market Research,Marketing,
develop insightful outcome from analysis,Market Research,Marketing,
design brand image insightfully ,Branding,Marketing,
allign brand image with companys vision effectively,Branding,Marketing,
deliver brand message effectively,Branding,Marketing,
maintain consistent brand image effectively,Branding,Marketing,
assess brand awareness prudently,Branding,Marketing,
ensure external brand understanding alligned with brand image,Branding,Marketing,
ensure user experience alligned with brand image,Branding,Marketing,
maintain product quality satisfaction consistently,Branding,Marketing,
maintain service quality satisfaction consistently,Branding,Marketing,
ensure brand promise delivered effectively,Branding,Marketing,
coordinate with product and service development effectively,Branding,Marketing,
foster brand culture within company effectively,Branding,Marketing,
design advertising tactic creatively,Above The Line Advertising,Marketing,
design advertising content creatively,Above The Line Advertising,Marketing,
execute advertising tactic efficiently,Above The Line Advertising,Marketing,
measure advertising success prudently,Above The Line Advertising,Marketing,
select advertising agency prudently,Above The Line Advertising,Marketing,
ensure effective delivery of advertising ,Above The Line Advertising,Marketing,
design advertising tactic creatively,Below The Line Advertising,Marketing,
design advertising content creatively,Below The Line Advertising,Marketing,
execute advertising tactic efficiently,Below The Line Advertising,Marketing,
measure advertising success prudently,Below The Line Advertising,Marketing,
select advertising channel prudently,Below The Line Advertising,Marketing,
ensure effective delivery of advertising ,Below The Line Advertising,Marketing,
understand management needs effectively,Public Relation,Marketing,
advise management on public relation approach concisely,Public Relation,Marketing,
integrate public relation strategy with marketing plan effectively,Public Relation,Marketing,
utilise brand image effectively,Public Relation,Marketing,
create brands positive message genuinely ,Public Relation,Marketing,
analyse public opinion prudently,Public Relation,Marketing,
gather external brands positive message efficiently,Public Relation,Marketing,
explore new relationship with journalists creatively,Public Relation,Marketing,
understand journalists need intuitively,Public Relation,Marketing,
design press kit creatively,Public Relation,Marketing,
communicate with media effectively,Public Relation,Marketing,
maintain good relationship with media effectively,Public Relation,Marketing,
explore new media outlet frequently,Public Relation,Marketing,
manage public relation crisis critically,Public Relation,Marketing,
respond to crisis proactively,Public Relation,Marketing,
conduct damage control prudently,Public Relation,Marketing,
coordinate with sales team effectively ,Public Relation,Marketing,
coordinate with customer service team effectively ,Public Relation,Marketing,
allign with marketing plan effectively,Sponsorship,Marketing,
allign with public relation strategy effectively,Sponsorship,Marketing,
select candidate prudently,Sponsorship,Marketing,
design sponsorship program creatively,Sponsorship,Marketing,
coordinate with other department efficiently,Sponsorship,Marketing,
execute sponsorship program effectively,Sponsorship,Marketing,
copy writing new content creatively,Content Marketing,Marketing,
design new content delivery method creatively,Content Marketing,Marketing,
search for available content critically,Content Marketing,Marketing,
integrate with marketing plan effectively,Content Marketing,Marketing,
integrate with public relation strategy effectively,Content Marketing,Marketing,
allign with brand image effectively,Content Marketing,Marketing,
distribute content to social media platforms effectively,Content Marketing,Marketing,
deliver content regularly,Content Marketing,Marketing,
select audience critically,Content Marketing,Marketing,
gather audience feedback of content frequently,Content Marketing,Marketing,
analyse audience behaviour prudently,Content Marketing,Marketing,
coordinate with customer service team effectively,Content Marketing,Marketing,
coordinate with sales team effectively,Content Marketing,Marketing,
allign with marketing plan effectively,Event Design and Management,Marketing,
allign with public relation strategy effectively,Event Design and Management,Marketing,
design event content creatively,Event Design and Management,Marketing,
plan event executive plan concisely,Event Design and Management,Marketing,
select event venue and time critically,Event Design and Management,Marketing,
coordinate with other department efficiently,Event Design and Management,Marketing,
procure equipments and items efficiently,Event Design and Management,Marketing,
design floorplan effectively,Event Design and Management,Marketing,
promote event effectively,Event Design and Management,Marketing,
execute event efficiently ,Event Design and Management,Marketing,
ensure event flow smoothly,Event Design and Management,Marketing,
handle crisis critically,Event Design and Management,Marketing,
collaborate with others,Teamwork,Improvement,
build mutual understanding,Teamwork,Improvement,
work with others without having conflicts,Teamwork,Improvement,
give feedback,Teamwork,Improvement,
receive feedbacks,Teamwork,Improvement,
give constructive feedbacks,Mentoring and Coaching,Improvement,
understand mentees need,Mentoring and Coaching,Improvement,
discover underlying potential of mentee,Mentoring and Coaching,Improvement,
design development plan,Mentoring and Coaching,Improvement,
guide the person ,Mentoring and Coaching,Improvement,
notice the problem the mentee is facing,Mentoring and Coaching,Improvement,
stay calm while conflict occurs,Conflict Handling,Improvement,
understand the conflict and provides solution ,Conflict Handling,Improvement,
argue objectively,Conflict Handling,Improvement,
provide constructive statement,Conflict Handling,Improvement,
solve the conflict,Conflict Handling,Improvement,
provide solution on a problem,Problem Solving,Improvement,
think-out-of-the-box,Problem Solving,Improvement,
understand the problem,Problem Solving,Improvement,
gather information,Problem Solving,Improvement,
analyze the situation and make a decision,Decision Making,Improvement,
make a good decision based on limited information ,Decision Making,Improvement,
discover more information for decision making,Decision Making,Improvement,
handle sudden changes with ease,Change Management,Improvement,
keep an calm mind while changes happened ,Change Management,Improvement,
provide a contigency plan when changes happened,Change Management,Improvement,
meet deadlines,Time Management,Improvement,
having timelines for all the task ,Time Management,Improvement,
delegate the responsibilities,Time Management,Improvement,
sets priorities for all the task,Priority Management,Improvement,
have the sense of urgency,Priority Management,Improvement,
schedule time for importance task,Priority Management,Improvement,
perform under stress,Stress Management,Improvement,
plan the task with timeline,Stress Management,Improvement,
take Control while stress occurs ,Stress Management,Improvement,
negotiate with convincing points,Negotiation,Improvement,
effective verbal communication ,Negotiation,Improvement,
effective listening ,Negotiation,Improvement,
reducing misunderstandings during negotiation,Negotiation,Improvement,
understand the Product,Promotion and Selling,Improvement,
strong and Convincing tone ,Promotion and Selling,Improvement,
establish trust with the buyer ,Promotion and Selling,Improvement,
uses Psychology while dealing with potential buyers,Promotion and Selling,Improvement,
uses the correct vocabs and tones ,Presentation,Improvement,
deliver the points clearly ,Presentation,Improvement,
understand the target audience,Presentation,Improvement,
organized the documents neatly,Document Organization,Improvement,
place the documents in order,Document Organization,Improvement,
communicates effectively,Administration,Improvement,
know what to learn ,Learning Improvement,Improvement,
know where to find learning material,Learning Improvement,Improvement,
able to learn and apply what he learn,Learning Improvement,Improvement,
never stop learning,Learning Improvement,Improvement,
use visual management to improve the productivity,Productivity Improvement,Improvement,
use productivity improvement tool,Productivity Improvement,Improvement,
utilise others strength to improve productivity,Productivity Improvement,Improvement,
collaborate with other department members,Cross Department Integration,Improvement,
understand other department background,Cross Department Integration,Improvement,
understand other department strength and weakness,Cross Department Integration,Improvement,
design integration plan,Cross Department Integration,Improvement,
coordinate other team members effectively,Cross Team Coordination ,Improvement,
understand other team background,Cross Team Coordination ,Improvement,
understand other team strength and weakness,Cross Team Coordination ,Improvement,
design coordination plan,Cross Team Coordination ,Improvement,
understand the investment industry well,Investment Knowledge,Improvement,
understand investment tools,Investment Knowledge,Improvement,
give useful insights in the investment,Investment Knowledge,Improvement,
responsive to the groups needs,Leadership,Mindset,
sharp perception ,Leadership,Mindset,
knowing the team ,Leadership,Mindset,
motivates the team,Leadership,Mindset,
interact with people with ease,Interpersonal Communication,Mindset,
communicate clearly,Interpersonal Communication,Mindset,
listen attentively,Interpersonal Communication,Mindset,
self awareness,Intrapersonal Development,Mindset,
self motivation,Intrapersonal Development,Mindset,
self discipline,Intrapersonal Development,Mindset,
control the emotions and impulses,Emotional Intelligence,Mindset,
understand others emotion,Emotional Intelligence,Mindset,
show empathy,Emotional Intelligence,Mindset,
understand who is the audience that he is designing for,Design Thinking,Mindset,
building representation of one or more of your ideas and present to others,Design Thinking,Mindset,
brainstorming and come out with a creative solutions,Design Thinking,Mindset,
think-out-of-box thought process,Creative Thinking,Mindset,
full of ideas,Creative Thinking,Mindset,
figure out different ways to solve a single problem,Creative Thinking,Mindset,
tackle the core of the problem,Critical Thinking,Mindset,
having a workaround given a short period of time,Critical Thinking,Mindset,
think of solution under pressure,Critical Thinking,Mindset,
analyzes the situation effectively,Analytical Thinking,Mindset,
analyze the information,Analytical Thinking,Mindset,
predicted the outcomes effectively,Analytical Thinking,Mindset,
plan strategy based on the information he have,Strategic Thinking,Mindset,
think through a big picture,Strategic Thinking,Mindset,
plan with a good flow of plan,Strategic Thinking,Mindset,
figure out the posibilities of future technologies,Futures Thinking,Mindset,
identify the drivers of change,Futures Thinking,Mindset,
predict potential outcomes,Futures Thinking,Mindset,
full of new ideas,Innovation,Mindset,
different solutions for a single problem ,Innovation,Mindset,
think-out-of-box thought process,Innovation,Mindset,
understand the needs of internal and external environment,Intrapreneurship,Mindset,
have the vision and will to challenge the status quo,Intrapreneurship,Mindset,
diplomatic and able to lead cross-functional teams,Intrapreneurship,Mindset,
have the ability to build a professional-support network,Intrapreneurship,Mindset,
willing to try out something new,Entrepreneurship,Mindset,
does not fear failure,Entrepreneurship,Mindset,
willing to take risk,Entrepreneurship,Mindset,
identify the key attributes to define as an individual,Personal Branding,Mindset,
know how to develop a personal brand image,Personal Branding,Mindset,
able to be authentic,Personal Branding,Mindset,
taking into consideration your own and other peoples opinion,Assertiveness,Mindset,
encourage people to express their opinions,Assertiveness,Mindset,
able to stand up for others people opinion without being too aggresive,Assertiveness,Mindset,
able to stand up for owns opinion without being too aggresive,Assertiveness,Mindset,
having the general knowledge about the business,Commercial Awareness,Mindset,
have business sense,Commercial Awareness,Mindset,
can discover commercial value,Commercial Awareness,Mindset,
self Learn Video production techniques,Video and Animation Production,Interest,
able to use animation production tool,Video and Animation Production,Interest,
handle shots with good angle,Photography ,Interest,
handle shots with low-light condition,Photography ,Interest,
uses psychology to do analysis,Psychology,Interest,
have own sets of thinking,Philosophy,Interest,
able to look from different perspective,Philosophy,Interest,
able to look deep of an issue,Philosophy,Interest,
good Command in English,Writing,Interest,
writing the suitable material based on the target audience of the material ,Writing,Interest,
good business writing skills,Writing,Interest,
able to write under specific circumstances,Writing,Interest,
understand the cultural difference,Cultural and Societal Study,Interest,
understand the root of a culture,Cultural and Societal Study,Interest,
understand the effect of a culture,Cultural and Societal Study,Interest,
good knowledge on economics study,Economic Study,Interest,
research and analyze economic issues,Economic Study,Interest,
conduct Surveys and collect data,Economic Study,Interest,
analyze data using mathematical models and statistical techniques.,Economic Study,Interest,
interpret and forecast market trends,Economic Study,Interest,
design policies or make recommendations for solving economic problems,Economic Study,Interest,
write articles for publication in newsletters and academic journals,Economic Study,Interest,
data analysis and intepretation,Data Analytics,Coding and Programming,
data analysis,Data Analytics,Coding and Programming,
data analytics,Data Analytics,Coding and Programming,
approach others for discussion,Collaboration,,
